auditStartTime,adminActionType,issueType,severity,description,location,indicatorCode,countryCode,detectedAt,additionalData
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/POL,indicators/BN.CAB.XOKA.GD.ZS/series/POL; countries/POL/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,POL,2025-09-14T15:45:22.732013,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/POL, countries/POL/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/PRT,indicators/BN.CAB.XOKA.GD.ZS/series/PRT; countries/PRT/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,PRT,2025-09-14T15:45:22.732034,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/PRT, countries/PRT/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/SVK,indicators/BN.CAB.XOKA.GD.ZS/series/SVK; countries/SVK/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,SVK,2025-09-14T15:45:22.732055,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/SVK, countries/SVK/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/SVN,indicators/BN.CAB.XOKA.GD.ZS/series/SVN; countries/SVN/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,SVN,2025-09-14T15:45:22.732080,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/SVN, countries/SVN/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/SWE,indicators/BN.CAB.XOKA.GD.ZS/series/SWE; countries/SWE/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,SWE,2025-09-14T15:45:22.732100,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/SWE, countries/SWE/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/TUR,indicators/BN.CAB.XOKA.GD.ZS/series/TUR; countries/TUR/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,TUR,2025-09-14T15:45:22.732124,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/TUR, countries/TUR/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/USA,indicators/BN.CAB.XOKA.GD.ZS/series/USA; countries/USA/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,USA,2025-09-14T15:45:22.732149,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/USA, countries/USA/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: EG.FEC.RNEW.ZS/AUS,indicators/EG.FEC.RNEW.ZS/series/AUS; countries/AUS/indicators/EG.FEC.RNEW.ZS,EG.FEC.RNEW.ZS,AUS,2025-09-14T15:45:22.732187,"{locations: [indicators/EG.FEC.RNEW.ZS/series/AUS, countries/AUS/indicators/EG.FEC.RNEW.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: EG.FEC.RNEW.ZS/AUT,indicators/EG.FEC.RNEW.ZS/series/AUT; countries/AUT/indicators/EG.FEC.RNEW.ZS,EG.FEC.RNEW.ZS,AUT,2025-09-14T15:45:22.732208,"{locations: [indicators/EG.FEC.RNEW.ZS/series/AUT, countries/AUT/indicators/EG.FEC.RNEW.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: EG.FEC.RNEW.ZS/BEL,indicators/EG.FEC.RNEW.ZS/series/BEL; countries/BEL/indicators/EG.FEC.RNEW.ZS,EG.FEC.RNEW.ZS,BEL,2025-09-14T15:45:22.732229,"{locations: [indicators/EG.FEC.RNEW.ZS/series/BEL, countries/BEL/indicators/EG.FEC.RNEW.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: EG.FEC.RNEW.ZS/CAN,indicators/EG.FEC.RNEW.ZS/series/CAN; countries/CAN/indicators/EG.FEC.RNEW.ZS,EG.FEC.RNEW.ZS,CAN,2025-09-14T15:45:22.732247,"{locations: [indicators/EG.FEC.RNEW.ZS/series/CAN, countries/CAN/indicators/EG.FEC.RNEW.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: EG.FEC.RNEW.ZS/CHE,indicators/EG.FEC.RNEW.ZS/series/CHE; countries/CHE/indicators/EG.FEC.RNEW.ZS,EG.FEC.RNEW.ZS,CHE,2025-09-14T15:45:22.732269,"{locations: [indicators/EG.FEC.RNEW.ZS/series/CHE, countries/CHE/indicators/EG.FEC.RNEW.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: EG.FEC.RNEW.ZS/CHL,indicators/EG.FEC.RNEW.ZS/series/CHL; countries/CHL/indicators/EG.FEC.RNEW.ZS,EG.FEC.RNEW.ZS,CHL,2025-09-14T15:45:22.732286,"{locations: [indicators/EG.FEC.RNEW.ZS/series/CHL, countries/CHL/indicators/EG.FEC.RNEW.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: EG.FEC.RNEW.ZS/COL,indicators/EG.FEC.RNEW.ZS/series/COL; countries/COL/indicators/EG.FEC.RNEW.ZS,EG.FEC.RNEW.ZS,COL,2025-09-14T15:45:22.732306,"{locations: [indicators/EG.FEC.RNEW.ZS/series/COL, countries/COL/indicators/EG.FEC.RNEW.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: EG.FEC.RNEW.ZS/CRI,indicators/EG.FEC.RNEW.ZS/series/CRI; countries/CRI/indicators/EG.FEC.RNEW.ZS,EG.FEC.RNEW.ZS,CRI,2025-09-14T15:45:22.732323,"{locations: [indicators/EG.FEC.RNEW.ZS/series/CRI, countries/CRI/indicators/EG.FEC.RNEW.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: EG.FEC.RNEW.ZS/CZE,indicators/EG.FEC.RNEW.ZS/series/CZE; countries/CZE/indicators/EG.FEC.RNEW.ZS,EG.FEC.RNEW.ZS,CZE,2025-09-14T15:45:22.732344,"{locations: [indicators/EG.FEC.RNEW.ZS/series/CZE, countries/CZE/indicators/EG.FEC.RNEW.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: EG.FEC.RNEW.ZS/DEU,indicators/EG.FEC.RNEW.ZS/series/DEU; countries/DEU/indicators/EG.FEC.RNEW.ZS,EG.FEC.RNEW.ZS,DEU,2025-09-14T15:45:22.732362,"{locations: [indicators/EG.FEC.RNEW.ZS/series/DEU, countries/DEU/indicators/EG.FEC.RNEW.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: EG.FEC.RNEW.ZS/DNK,indicators/EG.FEC.RNEW.ZS/series/DNK; countries/DNK/indicators/EG.FEC.RNEW.ZS,EG.FEC.RNEW.ZS,DNK,2025-09-14T15:45:22.732382,"{locations: [indicators/EG.FEC.RNEW.ZS/series/DNK, countries/DNK/indicators/EG.FEC.RNEW.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: EG.FEC.RNEW.ZS/ESP,indicators/EG.FEC.RNEW.ZS/series/ESP; countries/ESP/indicators/EG.FEC.RNEW.ZS,EG.FEC.RNEW.ZS,ESP,2025-09-14T15:45:22.732403,"{locations: [indicators/EG.FEC.RNEW.ZS/series/ESP, countries/ESP/indicators/EG.FEC.RNEW.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: EG.FEC.RNEW.ZS/EST,indicators/EG.FEC.RNEW.ZS/series/EST; countries/EST/indicators/EG.FEC.RNEW.ZS,EG.FEC.RNEW.ZS,EST,2025-09-14T15:45:22.732423,"{locations: [indicators/EG.FEC.RNEW.ZS/series/EST, countries/EST/indicators/EG.FEC.RNEW.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: EG.FEC.RNEW.ZS/FIN,indicators/EG.FEC.RNEW.ZS/series/FIN; countries/FIN/indicators/EG.FEC.RNEW.ZS,EG.FEC.RNEW.ZS,FIN,2025-09-14T15:45:22.732442,"{locations: [indicators/EG.FEC.RNEW.ZS/series/FIN, countries/FIN/indicators/EG.FEC.RNEW.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: EG.FEC.RNEW.ZS/FRA,indicators/EG.FEC.RNEW.ZS/series/FRA; countries/FRA/indicators/EG.FEC.RNEW.ZS,EG.FEC.RNEW.ZS,FRA,2025-09-14T15:45:22.732462,"{locations: [indicators/EG.FEC.RNEW.ZS/series/FRA, countries/FRA/indicators/EG.FEC.RNEW.ZS]}"
